exp_id,organ_group,cell_group,development_group,system_group,Biosample term id,Biosample term name,Biosample type,Biosample organism,Assay,Experiment target,File assembly,Donor(s)
ENCSR654VMK,limb,unknown,ectoderm,musculature,UBERON:0002101,limb,tissue,Mus musculus,Histone ChIP-seq,H3K4me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR655WKX,intestine,unknown,endoderm,digestive,UBERON:0000160,intestine,tissue,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR656AMS,liver,unknown,endoderm,endocrine,UBERON:0002107,liver,tissue,Mus musculus,Histone ChIP-seq,H3K36me3-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR658BBG,brain,unknown,ectoderm,central_nervous,UBERON:0001890,forebrain,tissue,Mus musculus,Histone ChIP-seq,H3K27me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR658TDS,kidney,unknown,mesoderm,excretory,UBERON:0002113,kidney,tissue,Mus musculus,Histone ChIP-seq,H3K4me2-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR661GMU,epithelium,unknown,ectoderm,unknown,UBERON:0001049,neural tube,tissue,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR661HDP,limb,unknown,ectoderm,musculature,UBERON:0002101,limb,tissue,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR662KNY,brain,unknown,ectoderm,central_nervous,UBERON:0002028,hindbrain,tissue,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR663VWL,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,Histone ChIP-seq,H3K4me1-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR666HFH,eye,neural_cell,ectoderm,sensory,CL:0011107,Muller cell,primary cell,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR668BBX,brain,unknown,ectoderm,central_nervous,UBERON:0001890,forebrain,tissue,Mus musculus,Histone ChIP-seq,H3K9me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR668EIA,lung,unknown,endoderm,respiratory,UBERON:0002048,lung,tissue,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR669AQL,kidney,unknown,mesoderm,excretory,UBERON:0002113,kidney,tissue,Mus musculus,Histone ChIP-seq,H3K4me3-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR670YXP,liver,unknown,endoderm,endocrine,UBERON:0002107,liver,tissue,Mus musculus,Histone ChIP-seq,H3K36me3-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR671NSS,brain,unknown,ectoderm,central_nervous,UBERON:0001891,midbrain,tissue,Mus musculus,Histone ChIP-seq,H3K27ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR671SQM,gonad,unknown,mesoderm,reproductive,UBERON:0000473,testis,tissue,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO509HIY/
ENCSR672ZXY,brain,unknown,ectoderm,central_nervous,UBERON:0001891,midbrain,tissue,Mus musculus,Histone ChIP-seq,H3K27ac-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR674PZU,kidney,unknown,mesoderm,excretory,UBERON:0002113,kidney,tissue,Mus musculus,Histone ChIP-seq,H3K4me1-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR675HDX,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,Histone ChIP-seq,H3K27ac-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR678FIT,brain,unknown,ectoderm,central_nervous,UBERON:0001891,midbrain,tissue,Mus musculus,Histone ChIP-seq,H3K4me1-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR684UWM,stomach,unknown,endoderm,digestive,UBERON:0000945,stomach,tissue,Mus musculus,Histone ChIP-seq,H3K4me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR687EAW,connective_tissue,connective_tissue_cell,unknown,unknown,EFO:0001084,3T3-L1,cell line,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO072AAA/
ENCSR687JCD,embryo,unknown,unknown,unknown,UBERON:0000922,embryo,tissue,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR688ZOR,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,Histone ChIP-seq,H3K4me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR689NXE,brain,unknown,ectoderm,central_nervous,UBERON:0002028,hindbrain,tissue,Mus musculus,Histone ChIP-seq,H3K9me3-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR690VOH,epithelium,unknown,ectoderm,unknown,UBERON:0001049,neural tube,tissue,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO956IXV/
ENCSR691NQH,brain,unknown,ectoderm,central_nervous,UBERON:0001890,forebrain,tissue,Mus musculus,Histone ChIP-seq,H3K27ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR692ASO,kidney,unknown,mesoderm,excretory,UBERON:0002113,kidney,tissue,Mus musculus,DNase-seq,DNase-seq,mm10,/mouse-donors/ENCDO509HIY/
ENCSR693UWX,liver,unknown,endoderm,endocrine,UBERON:0002107,liver,tissue,Mus musculus,Histone ChIP-seq,H3K4me2-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR695FPP,brain,unknown,ectoderm,central_nervous,UBERON:0002028,hindbrain,tissue,Mus musculus,Histone ChIP-seq,H3K4me1-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR698WCJ,intestine,unknown,endoderm,digestive,UBERON:0000160,intestine,tissue,Mus musculus,Histone ChIP-seq,H3K9me3-mouse,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR699XHY,heart,unknown,mesoderm,circulatory,UBERON:0000948,heart,tissue,Mus musculus,Histone ChIP-seq,H3K27ac-mouse,mm10,/mouse-donors/ENCDO956IXV/
ENCSR700QBR,epithelium,unknown,ectoderm,unknown,UBERON:0001049,neural tube,tissue,Mus musculus,ATAC-seq,ATAC-seq,mm10,/mouse-donors/ENCDO469XMJ/
ENCSR701GKO,embryo,unknown,unknown,unknown,UBERON:0012314,embryonic facial prominence,tissue,Mus musculus,Histone ChIP-seq,H3K27me3-mouse,mm10,/mouse-donors/ENCDO956IXV/
