State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
40	2.61804	3.21294	4.02212	4.83130	5.97368	7.75864	11.99496	18.34943	30.32059	43.76732	59.16561	64.04451	55.02449	41.22077	29.46381	20.80078	15.27929	10.52014	7.54499	5.92651	4.83165
41	4.92808	5.59642	7.43005	10.10411	14.87921	24.10470	34.13241	48.34310	52.73619	29.18540	12.91187	19.32960	46.85327	72.12309	62.26729	40.16813	24.50581	14.91848	9.97112	7.43059	5.78784
42	3.29970	3.50743	4.33882	5.57292	7.15776	10.52230	18.91416	33.00884	57.46994	72.29210	90.28393	121.22729	90.79056	50.13031	24.91577	12.83461	7.04085	4.28717	2.83213	2.13059	1.40307
43	3.41013	4.48172	4.43301	4.18943	7.06358	8.91473	12.51959	23.04189	50.51678	157.34735	159.92921	12.42216	12.32473	8.13530	5.65086	4.92015	3.84843	3.16666	2.58205	1.41282	1.75384
44	5.91889	6.49230	7.71775	10.53369	13.16711	19.13794	23.85724	31.00138	25.81276	15.53980	10.61191	9.82971	9.59504	12.56742	15.27907	17.96463	17.96463	14.70651	12.56833	12.30757	10.11724
45	3.18379	4.17531	3.88826	5.87153	8.45500	11.95182	16.23151	19.80662	18.78889	8.50719	5.66276	8.79424	11.74306	16.51856	19.93710	21.45065	21.71160	19.96463	17.92902	17.06780	13.85780
46	5.73021	8.56872	11.46000	16.50660	24.07651	28.57115	30.62133	23.99766	12.77422	2.75986	1.10394	2.57587	13.58904	47.46963	87.21165	92.78394	72.04555	50.02281	33.04187	21.26561	14.35232
47	11.46858	14.69526	17.76233	19.09583	18.21572	14.48190	10.48137	6.74755	1.73356	0.66675	0.48006	0.48006	0.80010	2.80037	12.16159	36.11140	57.74090	63.42620	58.33183	48.64987	40.22149
48	10.88404	12.09294	11.52860	11.44798	9.43249	6.61081	6.93329	6.53019	5.07904	4.67594	5.56275	5.64337	5.48213	6.36895	7.65886	19.59056	34.90829	45.95648	49.18150	48.93962	43.45709
49	4.62914	5.32537	6.39044	7.39407	8.80734	10.17965	10.81460	8.37722	5.81694	4.83380	5.46875	5.32537	4.32174	3.58438	4.46512	5.32537	6.32900	7.64041	7.72234	6.92348	7.21025
50	2.92869	3.25678	3.00432	3.14318	3.06744	2.90333	2.63825	2.75186	2.80235	3.33252	3.93844	3.08006	2.13332	2.07020	2.19644	2.15857	2.10807	2.47432	2.36071	2.53744	2.32283
51	2.86802	2.59720	2.72410	2.70718	2.67334	2.46184	2.42800	2.06422	2.01346	2.19112	1.73429	1.38743	1.53125	1.36205	1.43819	1.60739	1.86119	1.84440	1.86132	1.73441	1.59904
52	2.20511	2.24441	2.07640	2.14203	1.96353	1.66165	1.37289	1.03689	0.82164	0.62476	0.40163	0.54076	0.67988	0.72189	0.75339	0.88201	0.91614	1.05272	1.05797	1.13147	1.20235
53	2.55732	2.70627	2.52585	2.51801	2.50232	2.43172	2.09442	1.56885	1.26293	0.88640	1.04329	0.97269	1.11389	1.09820	1.20017	1.24724	1.50610	1.50621	1.65526	1.69448	1.64741
54	5.18033	6.00287	7.38932	8.77577	9.29379	10.02510	9.72039	5.85051	3.04714	2.91002	3.67181	2.13300	1.56928	1.67593	1.84352	2.68149	3.18426	3.62636	3.38257	3.23020	3.07784
55	2.90668	3.05956	3.05956	3.31452	3.28902	3.31452	3.00856	2.65162	3.74796	6.06812	2.14169	0.53542	0.53542	0.86687	0.94336	1.12184	1.12184	1.09642	1.35140	1.58088	1.75937
56	2.06109	2.00581	1.89540	1.82179	1.72978	1.71138	1.32494	0.93850	0.55206	1.04891	0.73608	0.18402	0.33123	0.47845	0.55206	0.49685	0.71768	0.69932	0.80974	0.88336	0.97537
57	10.06944	12.11957	14.85356	17.83761	21.55517	22.53874	19.88810	13.76997	5.81806	2.31722	1.60038	1.95047	1.95047	2.11717	2.93404	3.68422	4.13432	4.61811	4.16797	3.41773	2.85089
58	3.69381	3.71705	4.20798	4.88594	5.33011	5.86780	6.19509	4.97945	2.75857	1.49617	1.65982	1.51955	1.77670	1.61306	1.94035	1.96373	2.31439	2.36132	2.89904	3.13284	3.06270
59	2.24024	2.40152	2.71476	2.77172	2.74324	2.50594	1.92691	1.33840	0.83531	0.64547	0.52207	0.50309	0.66445	0.68344	0.80684	0.82582	0.86379	1.09168	1.06320	1.11067	1.22458
60	9.45440	10.51174	11.08126	11.71587	11.97622	10.65819	9.38897	6.32983	3.82393	2.76625	2.81506	2.73370	2.32690	3.71003	4.99552	6.46000	7.55023	8.67362	9.53610	9.55238	9.27573
61	4.97341	4.64387	4.24865	3.90989	3.02534	2.47956	1.71263	1.21390	0.89866	0.68694	0.80927	0.81868	0.79515	0.89866	1.07745	1.27036	1.30330	1.46337	1.65629	1.83039	2.05625
62	1.49420	1.41280	1.27179	1.10502	0.97350	0.84741	0.66708	0.61149	0.52878	0.50573	0.49489	0.55997	0.66708	0.65759	0.68606	0.68606	0.75114	0.74984	0.85018	0.88544	0.93696
63	1.16382	1.07540	1.00182	0.89504	0.80532	0.73353	0.64650	0.58234	0.46704	0.34411	0.24765	0.29835	0.37282	0.43474	0.47781	0.51415	0.53523	0.57296	0.59315	0.63667	0.63174
64	0.44644	0.54945	0.51129	0.49603	0.38919	0.31670	0.35485	0.31670	0.27854	0.22512	0.22512	0.21749	0.24038	0.22894	0.23657	0.22512	0.26328	0.30527	0.29764	0.25567	0.33580
65	0.38087	0.40300	0.37643	0.35429	0.31000	0.24357	0.25243	0.23029	0.22586	0.22143	0.54029	0.55800	0.67757	0.53143	0.40300	0.32771	0.28786	0.33217	0.28345	0.23030	0.28345
66	0.20151	0.22240	0.20747	0.18508	0.17613	0.18956	0.18956	0.17762	0.16568	0.18658	0.21494	0.28360	0.26419	0.26270	0.25972	0.19255	0.19703	0.19853	0.18510	0.19107	0.17017
67	0.21399	0.22913	0.21399	0.21601	0.20086	0.19481	0.18270	0.13929	0.12112	0.12213	0.22408	0.29474	0.28666	0.31290	0.30887	0.14636	0.13828	0.18978	0.19381	0.19684	0.20492
68	0.26743	0.25909	0.25208	0.24112	0.23980	0.23323	0.23169	0.22753	0.22095	0.19991	0.14182	0.12034	0.13152	0.14577	0.16834	0.22424	0.22862	0.22119	0.22645	0.22469	0.22382
69	0.50040	0.31531	0.39757	0.43184	0.33587	0.22620	0.19193	0.17822	0.10967	0.13024	0.22620	0.21935	0.30846	0.21935	0.19193	0.13709	0.13024	0.28791	0.19194	0.28106	0.32219
70	0.36794	0.35917	0.32121	0.30369	0.26865	0.25988	0.25112	0.22776	0.23068	0.20148	0.35041	0.49641	0.57233	0.45261	0.34457	0.24236	0.25696	0.21026	0.26866	0.25698	0.31247
71	0.67052	0.58850	0.50649	0.58367	0.59814	0.55473	0.54026	0.51614	0.51614	0.52096	0.75250	0.77180	0.75250	0.73321	0.71874	0.63191	0.63191	0.55959	0.60783	0.57407	0.65125
72	0.76837	0.58966	0.48245	0.53605	0.66113	0.33950	0.60753	0.53605	0.48245	0.48245	0.82195	0.87556	0.85769	0.83982	0.75048	0.83982	0.87556	1.03645	1.14367	1.17941	1.07219
73	0.77022	0.77019	0.84885	0.81280	0.74397	0.76036	0.61615	0.62598	0.61615	0.62271	0.70137	0.68498	0.65548	0.75708	0.82263	0.62926	0.55388	0.63259	0.63914	0.62275	0.70469
